amenity,latitude,longitude
cafe,51.2217435,6.7874644
cafe,51.2217902,6.787331
cafe,51.2243242,6.7961707
cafe,51.2096404,6.8287881
cafe,51.2170121,6.7932466
cafe,51.2151029,6.7956797
cafe,51.2013658,6.7860413
cafe,51.2213018,6.8083088
cafe,51.1427677,6.8957785
cafe,51.1622417,6.8754349
cafe,51.1637011,6.8726058
cafe,51.1640434,6.8733927
cafe,51.2156849,6.7881515
cafe,51.2273389,6.7866846
cafe,51.1684501,6.6856745
cafe,51.1980732,6.6935471
cafe,51.2013248,6.68713
cafe,51.1831823,6.9249789
cafe,51.170195,6.9049073
cafe,51.2520266,6.6905413
cafe,51.2525524,6.6928769
cafe,51.169223,6.9358823
cafe,51.1634612,6.8712744
cafe,51.2010918,6.6868794
cafe,51.1982596,6.692643
cafe,51.2186803,6.7829375
cafe,51.2079454,6.8308138
cafe,51.2099492,6.8603085
cafe,51.198517,6.6928665
cafe,51.2316974,6.8118176
cafe,51.2003957,6.9132067
cafe,51.2305888,6.7951872
cafe,51.1426607,6.8952021
cafe,51.2148215,6.8050053
cafe,51.223456,6.8642676
cafe,51.2240456,6.8641692
cafe,51.2243534,6.8639339
cafe,51.2247171,6.8635986
cafe,51.2200125,6.8654712
cafe,51.211117,6.807866
cafe,51.2121978,6.8074021
cafe,51.1994695,6.6932169
cafe,51.2421516,6.7921413
cafe,51.2365364,6.7938924
cafe,51.1789224,6.858993
cafe,51.220352,6.8161136
cafe,51.2368059,6.8599201
cafe,51.2191175,6.7949534
cafe,51.2963613,6.85094
cafe,51.2964396,6.8477463
cafe,51.1635939,6.8744501
cafe,51.238111,6.7334697
cafe,51.2136036,6.7657686
cafe,51.2314049,6.7596209
cafe,51.2262299,6.78096
cafe,51.2213658,6.7926669
cafe,51.1444561,6.8980629
cafe,51.1986463,6.7701635
cafe,51.2142401,6.7548087
cafe,51.2179396,6.7617689
cafe,51.2159096,6.794208
cafe,51.2002978,6.8388393
cafe,51.2370476,6.8608922
cafe,51.2356032,6.8615302
cafe,51.2259362,6.783065
cafe,51.2194368,6.7941659
cafe,51.2199047,6.7937834
cafe,51.2190501,6.7815665
cafe,51.2282366,6.7871052
cafe,51.1648111,6.8740875
cafe,51.1653759,6.874316
cafe,51.1811429,6.8665472
cafe,51.1885483,6.7945848
cafe,51.2017591,6.6883775
cafe,51.1874347,6.7973671
cafe,51.1859183,6.8613998
cafe,51.1802925,6.8621759
cafe,51.2349506,6.7897509
cafe,51.1584779,6.6931746
cafe,51.2030207,6.6848571
cafe,51.2032079,6.6847785
cafe,51.228636,6.8037169
cafe,51.1805341,6.9266041
cafe,51.3008142,6.7389686
cafe,51.1415464,6.9033773
cafe,51.1965381,6.6848305
cafe,51.2377057,6.789698
cafe,51.1948505,6.8349403
cafe,51.2852827,6.7844493
cafe,51.24895,6.7978
cafe,51.2175645,6.7704948
cafe,51.1757624,6.8336117
cafe,51.1899689,6.8170168
cafe,51.1886764,6.8181341
cafe,51.17756,6.8549235
cafe,51.1866189,6.818783
cafe,51.1841254,6.8227028
cafe,51.1994581,6.84453
cafe,51.2112942,6.8077396
cafe,51.2114763,6.8098672
cafe,51.2225636,6.9103741
cafe,51.2140497,6.755948
cafe,51.2315802,6.7832083
cafe,51.3275997,6.9030924
cafe,51.1627686,6.8741498
cafe,51.2243009,6.7699348
cafe,51.2224838,6.7694709
cafe,51.2238456,6.7738773
cafe,51.2216536,6.7743288
cafe,51.1942806,6.8243172
cafe,51.1990637,6.7815034
cafe,51.1984003,6.7804006
cafe,51.2257117,6.7762575
cafe,51.2233439,6.773113
cafe,51.2014551,6.7192689
cafe,51.2263135,6.7742999
cafe,51.2261148,6.7726013
cafe,51.2259452,6.7724262
cafe,51.2262958,6.7758692
cafe,51.2427407,6.7820729
cafe,51.2443187,6.7867481
cafe,51.242185,6.7836491
cafe,51.210734,6.7784612
cafe,51.2211061,6.9092297
cafe,51.2382801,6.7836507
cafe,51.2447353,6.7878211
cafe,51.2233635,6.80455
cafe,51.1875074,6.7955741
cafe,51.2372401,6.8019743
cafe,51.2251322,6.7700083
cafe,51.2249299,6.7698832
cafe,51.211208,6.7847831
cafe,51.212529,6.7848871
cafe,51.2397527,6.7787735
cafe,51.2386659,6.8013887
cafe,51.2198946,6.7808173
cafe,51.1820097,6.8627807
cafe,51.1650207,6.8738883
cafe,51.2116101,6.8101275
cafe,51.2977491,6.8521255
cafe,51.1687279,6.9351821
cafe,51.168794,6.9337435
cafe,51.2753994,6.786148
cafe,51.1652417,6.873439
cafe,51.2310214,6.7516024
cafe,51.2292433,6.8141513
cafe,51.1253292,6.785995
cafe,51.1673877,6.9292988
cafe,51.21881,6.7952754
cafe,51.214288,6.7970574
cafe,51.3010185,6.7404217
cafe,51.1790943,6.7157457
cafe,51.238739,6.779593
cafe,51.2377898,6.8006593
cafe,51.253039,6.6946006
cafe,51.2978419,6.8512239
cafe,51.1965364,6.6933401
cafe,51.2362659,6.7294187
cafe,51.231778,6.7480442
cafe,51.2305335,6.7462509
cafe,51.2175012,6.7970721
cafe,51.2247124,6.7754585
cafe,51.3349382,6.8333441
cafe,51.333303,6.8295481
cafe,51.2154725,6.7765068
cafe,51.190706,6.7928388
cafe,51.1878988,6.8188046
cafe,51.1881255,6.8216948
cafe,51.168259,6.9353073
cafe,51.2236242,6.77953
cafe,51.2016943,6.7767895
cafe,51.2786446,6.8578864
cafe,51.2036861,6.7629678
cafe,51.2148578,6.7960397
cafe,51.2167798,6.7940493
cafe,51.2160757,6.7955417
cafe,51.1524808,6.7354397
cafe,51.2370878,6.7798538
cafe,51.2399588,6.7785943
cafe,51.2067845,6.7783847
cafe,51.2167748,6.7770029
cafe,51.2198891,6.7667409
cafe,51.3304165,6.9095744
cafe,51.2260843,6.7823082
cafe,51.176943,6.831224
cafe,51.177296,6.8306687
cafe,51.1782063,6.8293524
cafe,51.2017304,6.7866584
cafe,51.22273,6.774372
cafe,51.2124545,6.7673916
cafe,51.2368335,6.8564189
cafe,51.2980195,6.8519239
cafe,51.2971942,6.8502915
cafe,51.2110754,6.7822981
cafe,51.2144539,6.7866739
cafe,51.2131981,6.7892526
cafe,51.1915327,6.8151606
cafe,51.2790704,6.7647665
cafe,51.2399951,6.7189236
cafe,51.211954,6.764134
cafe,51.212317,6.7634793
cafe,51.3502005,6.8412149
cafe,51.2247836,6.7879418
cafe,51.2271706,6.7804854
cafe,51.2087641,6.8075933
cafe,51.2367504,6.7788545
cafe,51.235973,6.7321089
cafe,51.1997607,6.7538336
cafe,51.2355878,6.7854145
cafe,51.2225205,6.7876467
cafe,51.1904982,6.7941571
cafe,51.1880179,6.8220656
cafe,51.2625549,6.8102795
cafe,51.2137277,6.7720886
cafe,51.2416882,6.7822058
cafe,51.1691675,6.9386178
cafe,51.1675607,6.9308188
cafe,51.2322224,6.7202385
cafe,51.2322128,6.7206865
cafe,51.2509569,6.7801781
cafe,51.2234692,6.7733284
cafe,51.2218581,6.7855995
cafe,51.1689244,6.9362428
cafe,51.2336977,6.8243353
cafe,51.2260663,6.7870004
cafe,51.2282451,6.8102869
cafe,51.1686319,6.9325884
cafe,51.2377352,6.8225275
cafe,51.2238668,6.7730556
cafe,51.2850604,6.8732974
cafe,51.3289791,6.7807856
cafe,51.2321249,6.7456192
cafe,51.1619923,6.8721568
cafe,51.2133628,6.8231365
cafe,51.2063791,6.8327821
cafe,51.2087947,6.8298954
cafe,51.2247003,6.7767104
cafe,51.1686823,6.9359298
cafe,51.2259059,6.7765137
cafe,51.2219507,6.7736329
cafe,51.2260378,6.773839
cafe,51.2262954,6.7721065
cafe,51.2253646,6.7800028
cafe,51.2249733,6.7711404
cafe,51.2213317,6.7810031
cafe,51.1681939,6.9238773
cafe,51.1679077,6.9217127
cafe,51.2332792,6.7721489
cafe,51.2231904,6.7727799
cafe,51.2172105,6.7770115
cafe,51.1674984,6.9313434
cafe,51.2110232,6.7768407
cafe,51.2254372,6.7803535
cafe,51.215773,6.7789023
cafe,51.2976054,6.8494126
cafe,51.2464054,6.7793646
cafe,51.2273495,6.8120609
cafe,51.2093531,6.8290663
cafe,51.2981998,6.8485284
cafe,51.2228147,6.7817964
cafe,51.2382892,6.7325291
cafe,51.2567595,6.7486037
cafe,51.2259804,6.872632
cafe,51.2373367,6.8578269
cafe,51.213354,6.8241389
cafe,51.1991602,6.8443167
cafe,51.1950521,6.8841392
cafe,51.2125007,6.7746378
cafe,51.2150583,6.7769681
cafe,51.2182167,6.7657797
cafe,51.2170666,6.7654048
cafe,51.2107753,6.7740324
cafe,51.2112077,6.7661745
cafe,51.2109686,6.766094
cafe,51.2671074,6.8271699
cafe,51.1976254,6.8027916
cafe,51.181089,6.8547846
cafe,51.1922294,6.792933
cafe,51.3014421,6.7372914
cafe,51.2492789,6.7888803
cafe,51.216927,6.8038184
cafe,51.243536,6.7828542
cafe,51.1680323,6.929664
cafe,51.2285226,6.8143376
cafe,51.2283684,6.8149376
cafe,51.2219003,6.9124736
cafe,51.2277082,6.8019919
cafe,51.2140051,6.7849022
cafe,51.2393943,6.7797431
cafe,51.2216599,6.7917379
cafe,51.2199392,6.7795427
cafe,51.2254153,6.7882078
cafe,51.2290578,6.8081297
cafe,51.2156057,6.8027747
cafe,51.2231505,6.7727775
cafe,51.2285399,6.775032
cafe,51.2277883,6.7740832
cafe,51.198317,6.6912056
cafe,51.2401935,6.7823973
cafe,51.1616381,6.8745292
cafe,51.2150585,6.7866135
cafe,51.2069203,6.8217948
cafe,51.2273843,6.7710119
cafe,51.2224226,6.7900836
cafe,51.2235458,6.7710775
cafe,51.2197956,6.7894864
cafe,51.2253197,6.7798812
cafe,51.236939,6.7978207
cafe,51.2196331,6.8239186
cafe,51.2405117,6.7756851
cafe,51.2273902,6.7027304
cafe,51.2253868,6.8057247
cafe,51.2490932,6.7894069
cafe,51.2125767,6.7912598
cafe,51.241223,6.7276394
cafe,51.1996997,6.6925817
cafe,51.2149202,6.8014429
cafe,51.2245335,6.7735828
cafe,51.2285193,6.791183
cafe,51.2243844,6.7876556
cafe,51.312904,6.8210089
cafe,51.1682947,6.9316301
cafe,51.2497845,6.7343962
cafe,51.2130863,6.8059769
cafe,51.2389092,6.8016939
cafe,51.22406,6.7913364
cafe,51.164128,6.8723623
cafe,51.1676427,6.9337472
cafe,51.3009043,6.7389838
cafe,51.2269571,6.8091336
cafe,51.2415919,6.6832741
cafe,51.2240766,6.7754384
cafe,51.2007413,6.8381752
cafe,51.2213975,6.7982921
cafe,51.214734,6.7666029
cafe,51.2848767,6.8733993
cafe,51.2775713,6.7653659
cafe,51.2251796,6.7819567
cafe,51.2632146,6.8167924
cafe,51.2104373,6.7829505
cafe,51.2379118,6.7789459
cafe,51.2987546,6.8573364
cafe,51.1960922,6.695548
cafe,51.2229907,6.7727582
cafe,51.3053839,6.8149272
cafe,51.1782025,6.754786
cafe,51.2273599,6.8014846
cafe,51.2122068,6.7640392
cafe,51.2082603,6.7607314
cafe,51.2215058,6.7835675
cafe,51.229417,6.8136468
cafe,51.2431512,6.7132035
cafe,51.2423994,6.7898749
cafe,51.1444686,6.8987213
cafe,51.2951573,6.8686552
cafe,51.2390225,6.7522176
cafe,51.1958474,6.7691453
cafe,51.2259779,6.7760905
cafe,51.227001,6.7760514
cafe,51.3473684,6.7785598
cafe,51.1672089,6.7268729
cafe,51.2434085,6.7131241
cafe,51.2324617,6.7217284
cafe,51.2271684,6.8093593
cafe,51.214869,6.6932407
cafe,51.200169,6.689099
cafe,51.2282465,6.7874771
cafe,51.2965516,6.8676637
cafe,51.1990942,6.788364
cafe,51.1982069,6.6928635
cafe,51.2300368,6.7814189
cafe,51.2213279,6.7926653
cafe,51.2621749,6.8115323
cafe,51.2147896,6.7671201
cafe,51.3342562,6.8324224
cafe,51.2192092,6.779449
cafe,51.2846495,6.9178422
cafe,51.1654471,6.9303
cafe,51.1559625,6.9063644
cafe,51.2028009,6.684004
cafe,51.1857344,6.6926664
cafe,51.2429746,6.6842244
cafe,51.2386661,6.6946738
cafe,51.1969982,6.694956
cafe,51.1565626,6.7263872
cafe,51.1710168,6.7028357
cafe,51.202347,6.7710558
cafe,51.3528139,6.6828845
cafe,51.1939951,6.6928218
cafe,51.138705,6.7046073
cafe,51.1362052,6.8010396
cafe,51.3247029,6.8147362
cafe,51.2256296,6.7767841
cafe,51.2319924,6.751359
cafe,51.1919289,6.9362208
fast_food,51.2216682,6.7869771
fast_food,51.2213042,6.7940044
fast_food,51.2284568,6.8138018
fast_food,51.2296726,6.8071858
fast_food,51.2129975,6.8126814
fast_food,51.2235133,6.7961565
fast_food,51.2239046,6.7953987
fast_food,51.2232537,6.7951929
fast_food,51.2231675,6.7951313
fast_food,51.2230835,6.7950585
fast_food,51.2246618,6.7962976
fast_food,51.2151981,6.7916771
fast_food,51.2112241,6.7856074
fast_food,51.2222398,6.8034525
fast_food,51.2236004,6.8042512
fast_food,51.2131939,6.8064937
fast_food,51.1803776,6.8621296
fast_food,51.1320476,6.9081076
fast_food,51.226207,6.7751987
fast_food,51.1925784,6.7967748
fast_food,51.2369595,6.8616905
fast_food,51.19908,6.8468653
fast_food,51.2197962,6.8655176
fast_food,51.2346678,6.8177083
fast_food,51.1380191,6.8993346
fast_food,51.1690537,6.685014
fast_food,51.168729,6.6849032
fast_food,51.172212,6.6863447
fast_food,51.353379,6.9315586
fast_food,51.2086708,6.7778562
fast_food,51.204135,6.77248
fast_food,51.2010636,6.7628284
fast_food,51.2048064,6.7710193
fast_food,51.2229678,6.7949735
fast_food,51.2396647,6.7812697
fast_food,51.2107978,6.7781302
fast_food,51.1977376,6.6905466
fast_food,51.2012806,6.6830906
fast_food,51.2025307,6.6850187
fast_food,51.1687641,6.6855307
fast_food,51.2311266,6.6855982
fast_food,51.1755555,6.9397606
fast_food,51.2232023,6.6927717
fast_food,51.1985557,6.6917939
fast_food,51.1263595,6.7319027
fast_food,51.166795,6.9259163
fast_food,51.2204979,6.7926594
fast_food,51.2151384,6.8379802
fast_food,51.2280879,6.7878655
fast_food,51.2337918,6.7925067
fast_food,51.2319444,6.7473582
fast_food,51.2081227,6.8300954
fast_food,51.1933928,6.8567093
fast_food,51.2418697,6.8297009
fast_food,51.241701,6.826858
fast_food,51.1424588,6.8955564
fast_food,51.2242748,6.8640228
fast_food,51.2317161,6.859967
fast_food,51.161257,6.8764796
fast_food,51.2233674,6.8651102
fast_food,51.2090238,6.8077829
fast_food,51.2128285,6.8068255
fast_food,51.2369825,6.791263
fast_food,51.1694518,6.6850913
fast_food,51.2899501,6.8101786
fast_food,51.2964457,6.8500855
fast_food,51.2375756,6.7337508
fast_food,51.2597491,6.7551395
fast_food,51.2157257,6.7584436
fast_food,51.2380198,6.7983446
fast_food,51.178526,6.7397953
fast_food,51.2208312,6.7920171
fast_food,51.2209555,6.7921747
fast_food,51.1440135,6.898649
fast_food,51.1650424,6.8735198
fast_food,51.2184831,6.77653
fast_food,51.2261498,6.8620509
fast_food,51.2469458,6.7783742
fast_food,51.2470101,6.7783029
fast_food,51.2470386,6.7782694
fast_food,51.2510793,6.7814658
fast_food,51.2263867,6.7751985
fast_food,51.2016297,6.6831175
fast_food,51.2021218,6.6837182
fast_food,51.2197904,6.794105
fast_food,51.2987942,6.853739
fast_food,51.2194096,6.7940909
fast_food,51.2194867,6.7940093
fast_food,51.2191932,6.7948789
fast_food,51.2198565,6.7938907
fast_food,51.2265227,6.775379
fast_food,51.2194285,6.79402
fast_food,51.2218318,6.8058613
fast_food,51.2254203,6.8108603
fast_food,51.1815238,6.8650114
fast_food,51.1812498,6.8666525
fast_food,51.227054,6.805413
fast_food,51.2299059,6.7991214
fast_food,51.2053424,6.8335977
fast_food,51.2067088,6.8383282
fast_food,51.2005339,6.6873325
fast_food,51.1881299,6.709776
fast_food,51.1552848,6.7311766
fast_food,51.3100914,6.8183419
fast_food,51.3102807,6.8184816
fast_food,51.2210189,6.9083708
fast_food,51.2208713,6.9087282
fast_food,51.2028104,6.6845372
fast_food,51.2634851,6.8203975
fast_food,51.3332987,6.8289362
fast_food,51.1960643,6.6935117
fast_food,51.1908854,6.6890636
fast_food,51.1962655,6.6938958
fast_food,51.1773678,6.8544808
fast_food,51.1774993,6.8547837
fast_food,51.1836224,6.8220043
fast_food,51.1985961,6.6870021
fast_food,51.239288,6.7346128
fast_food,51.2052294,6.7798883
fast_food,51.1688006,6.874237
fast_food,51.2691647,6.7737865
fast_food,51.1788872,6.858859
fast_food,51.2719592,6.7742815
fast_food,51.1538878,6.7046447
fast_food,51.2952563,6.8632483
fast_food,51.2177662,6.8659678
fast_food,51.2175617,6.7819556
fast_food,51.1985233,6.7701549
fast_food,51.1631814,6.912387
fast_food,51.1859319,6.6889494
fast_food,51.1723826,6.6875817
fast_food,51.2019824,6.8367809
fast_food,51.1947004,6.8242866
fast_food,51.1780469,6.8560117
fast_food,51.1754042,6.8323893
fast_food,51.1761186,6.8325756
fast_food,51.1754976,6.836152
fast_food,51.187752,6.8217182
fast_food,51.1879714,6.8223317
fast_food,51.194584,6.8335415
fast_food,51.1959187,6.8355389
fast_food,51.1843021,6.8221852
fast_food,51.1855579,6.8202816
fast_food,51.1827628,6.8231534
fast_food,51.1793864,6.8278233
fast_food,51.1839166,6.8229682
fast_food,51.1970366,6.9143302
fast_food,51.1983067,6.9192421
fast_food,51.1681088,6.9028405
fast_food,51.3123313,6.8284486
fast_food,51.1779821,6.8732994
fast_food,51.1774729,6.8727764
fast_food,51.2111742,6.7931073
fast_food,51.2236107,6.7935961
fast_food,51.226469,6.7934515
fast_food,51.2366785,6.7401514
fast_food,51.2108085,6.7823975
fast_food,51.1867096,6.818934
fast_food,51.2129671,6.7988264
fast_food,51.2270941,6.8007455
fast_food,51.2622878,6.8098757
fast_food,51.2170693,6.80299
fast_food,51.2236743,6.773817
fast_food,51.2234167,6.7731371
fast_food,51.2235275,6.7731237
fast_food,51.2232021,6.7733516
fast_food,51.2236743,6.7739382
fast_food,51.2254248,6.7746591
fast_food,51.2232038,6.7735635
fast_food,51.2261705,6.7748
fast_food,51.2268696,6.7735299
fast_food,51.2257266,6.775487
fast_food,51.2268201,6.7729313
fast_food,51.2266024,6.7763108
fast_food,51.2268297,6.7760808
fast_food,51.2261985,6.7750982
fast_food,51.2408307,6.7825009
fast_food,51.2431364,6.7849404
fast_food,51.2448291,6.7864281
fast_food,51.2435632,6.7865295
fast_food,51.2420237,6.7834285
fast_food,51.2371771,6.7796165
fast_food,51.2448202,6.7886891
fast_food,51.2456112,6.7903988
fast_food,51.2468769,6.788976
fast_food,51.2259934,6.7938841
fast_food,51.2452318,6.7885259
fast_food,51.301319,6.7394374
fast_food,51.2391116,6.8013199
fast_food,51.2389462,6.8016095
fast_food,51.2389776,6.801556
fast_food,51.2396279,6.8004421
fast_food,51.2173022,6.7898613
fast_food,51.2436928,6.8014432
fast_food,51.2278883,6.7870723
fast_food,51.2514714,6.8010176
fast_food,51.251374,6.8009637
fast_food,51.2246411,6.7724879
fast_food,51.2281245,6.788076
fast_food,51.2894518,6.8456984
fast_food,51.1971541,6.6862971
fast_food,51.201881,6.7178403
