,amenity,latitude,longitude
0,hospital,51.211624,6.7609751
1,hospital,51.2440742,6.8482066
2,hospital,51.1941919,6.8111248
3,hospital,51.3003466,6.7493957
4,hospital,51.1745154,6.8249818
5,hospital,51.1524288,6.8709642
6,hospital,51.2347233,6.8208559
7,hospital,51.2345078,6.8208326
8,hospital,51.2439311,6.8442609
9,hospital,51.2433208,6.8560973
10,hospital,51.2544319,6.7595047
11,hospital,51.3002151,6.8521658
12,hospital,51.2359753,6.7855856
13,hospital,51.1643533,6.9383058
14,hospital,51.2424958,6.7913819
15,hospital,51.3334884,6.8186108
16,hospital,51.2668595,6.8246961
17,hospital,51.1914457,6.7019831
18,hospital,51.3547892,6.9413533
19,hospital,51.3362354,6.8157406
20,hospital,51.2131722,6.7730583
21,hospital,51.3008916,6.7341749
22,hospital,51.2313187,6.7272689
23,hospital,51.1959746,6.7894365
24,hospital,51.3000991,6.859167
0,school,51.2163925,6.7969645
1,school,51.1824847,6.8880691
2,school,51.1746328,6.8773785
3,school,51.1695643,6.9116901
4,school,51.2045286,6.8690287
5,school,51.1418815,6.8930943
6,school,51.1415205,6.8933052
7,school,51.2287776,6.8334919
8,school,51.2010816,6.692677
9,school,51.1658969,6.9339351
10,school,51.1910961,6.7091262
11,school,51.3023044,6.8709478
12,school,51.1609569,6.7363625
13,school,51.1616871,6.7358835
14,school,51.2908689,6.8177727
15,school,51.302236,6.8701039
16,school,51.1820744,6.690217
17,school,51.1833595,6.6910319
18,school,51.2131718,6.8203456
19,school,51.2154328,6.9056279
20,school,51.1780045,6.8756514
21,school,51.1783302,6.875136
22,school,51.2130379,6.8410005
23,school,51.2352342,6.7916803
24,school,51.2280772,6.8169506
25,school,51.2160062,6.8621815
26,school,51.2163477,6.862386
27,school,51.1988234,6.8114207
28,school,51.183797,6.6897139
29,school,51.1902116,6.8144787
30,school,51.1901343,6.8139499
31,school,51.197544,6.6956157
32,school,51.2003138,6.8101619
33,school,51.2186379,6.7964309
34,school,51.26246,6.8075057
35,school,51.1979125,6.6954422
36,school,51.2627573,6.8081349
37,school,51.2358566,6.8043805
38,school,51.2746607,6.84181
39,school,51.2164391,6.7995919
40,school,51.2534473,6.7616163
41,school,51.2976208,6.8486134
42,school,51.2236176,6.9000398
43,school,51.1520042,6.7352443
44,school,51.1526964,6.7352614
45,school,51.2933027,6.844458
46,school,51.2440686,6.7845509
47,school,51.1912798,6.7096023
48,school,51.2058201,6.7409459
49,school,51.1274,6.7818605
50,school,51.3017094,6.7473103
51,school,51.1669967,6.8645538
52,school,51.1673344,6.863655
53,school,51.1673597,6.869061
54,school,51.1669347,6.8691268
55,school,51.1710621,6.9303181
56,school,51.2064911,6.7741387
57,school,51.2062726,6.7742567
58,school,51.1915178,6.8173232
59,school,51.3424253,6.8286239
60,school,51.3425761,6.8289913
61,school,51.2963224,6.8442991
62,school,51.2389256,6.777619
63,school,51.2214099,6.792804
64,school,51.2443745,6.7806754
65,school,51.1906863,6.7090858
66,school,51.2038768,6.7782444
67,school,51.2032128,6.7782534
68,school,51.2401909,6.7836513
69,school,51.2162198,6.797584
70,school,51.1961392,6.7799019
71,school,51.2679115,6.7691821
72,school,51.2682782,6.7684324
73,school,51.234659,6.857732
74,school,51.1962308,6.7790469
75,school,51.1966392,6.6833102
76,school,51.2005873,6.6853359
77,school,51.1978422,6.68264
78,school,51.1513861,6.8878403
79,school,51.2069892,6.8351326
80,school,51.1425859,6.9046771
81,school,51.167268,6.8676093
82,school,51.1375399,6.8981821
83,school,51.2403142,6.8595092
84,school,51.2425362,6.8573517
85,school,51.2389727,6.8629985
86,school,51.2437255,6.860383
87,school,51.231661,6.8464004
88,school,51.2326506,6.8568001
89,school,51.2048118,6.8996317
90,school,51.2034328,6.9020093
91,school,51.1415793,6.8933387
92,school,51.1973298,6.8521234
93,school,51.2594066,6.7605293
94,school,51.2938054,6.8230164
95,school,51.2024116,6.7670836
96,school,51.2001343,6.844233
97,school,51.1841082,6.6950595
98,school,51.1845967,6.6951314
99,school,51.1287897,6.7275692
100,school,51.2309219,6.7065432
101,school,51.1672619,6.8692351
102,school,51.234284,6.8064954
103,school,51.1850402,6.6955379
104,school,51.2458056,6.7765773
105,school,51.2172399,6.8518856
106,school,51.2166351,6.8516561
107,school,51.2047742,6.7920616
108,school,51.2303565,6.8448707
109,school,51.1870167,6.6961819
110,school,51.1469197,6.9021128
111,school,51.1453369,6.9028158
112,school,51.1750383,6.8306996
113,school,51.2276266,6.8616565
114,school,51.2363716,6.7351178
115,school,51.1632279,6.8847407
116,school,51.1850298,6.7147216
117,school,51.185265,6.7146723
118,school,51.180455,6.73519
119,school,51.1698476,6.8924715
120,school,51.2644898,6.7519553
121,school,51.2133817,6.7918546
122,school,51.2534919,6.761743
123,school,51.2342531,6.8580601
124,school,51.2915505,6.8187833
125,school,51.2525458,6.6919209
126,school,51.1462727,6.8714673
127,school,51.2078291,6.8285794
128,school,51.2311922,6.8220325
129,school,51.2286481,6.8241108
130,school,51.2430796,6.8593245
131,school,51.2435789,6.8615109
132,school,51.1771869,6.7131657
133,school,51.2230137,6.8067436
134,school,51.2437201,6.7329542
135,school,51.2283319,6.8050256
136,school,51.204825,6.8378761
137,school,51.1549528,6.7284619
138,school,51.2993941,6.7331006
139,school,51.2088312,6.7878947
140,school,51.2100307,6.787228
141,school,51.1493831,6.8975651
142,school,51.3020043,6.8703167
143,school,51.1808546,6.8203967
144,school,51.1801392,6.8662352
145,school,51.20637,6.8559878
146,school,51.2009315,6.8196653
147,school,51.2111946,6.8055867
148,school,51.2308771,6.8084945
149,school,51.2472175,6.7813165
150,school,51.2487461,6.7800612
151,school,51.2359845,6.852812
152,school,51.165442,6.8791813
153,school,51.2885947,6.8313339
154,school,51.1863969,6.8229577
155,school,51.1737057,6.9288928
156,school,51.1722176,6.9266441
157,school,51.173175,6.9318591
158,school,51.1744738,6.9288319
159,school,51.1740432,6.9291797
160,school,51.1800954,6.9178741
161,school,51.1575193,6.9385055
162,school,51.1538361,6.9394897
163,school,51.2229942,6.6895536
164,school,51.2937802,6.8572248
165,school,51.2374444,6.8517898
166,school,51.1659863,6.6911249
167,school,51.2963314,6.8442789
168,school,51.2921038,6.8533913
169,school,51.1613781,6.7355315
170,school,51.1618826,6.7359362
171,school,51.1612573,6.7367887
172,school,51.1616351,6.7362993
173,school,51.160694,6.7359179
174,school,51.2126991,6.8093158
175,school,51.2167301,6.7847746
176,school,51.2910434,6.8292442
177,school,51.1978836,6.6827198
178,school,51.1981077,6.7599481
179,school,51.2302205,6.7921458
180,school,51.3512897,6.7863738
181,school,51.3511309,6.7867626
182,school,51.3512705,6.7870353
183,school,51.3510484,6.7865689
184,school,51.2357602,6.7447659
185,school,51.2004226,6.6833263
186,school,51.2355659,6.7890355
187,school,51.2018865,6.6907186
188,school,51.2288894,6.7569217
189,school,51.2296477,6.7574941
190,school,51.1271773,6.7818719
191,school,51.2279037,6.7946658
192,school,51.2381826,6.6850759
193,school,51.2037292,6.8118921
194,school,51.2376011,6.7549275
195,school,51.203508,6.7786102
196,school,51.2621923,6.8076832
197,school,51.2069687,6.7920785
198,school,51.2154539,6.7887575
199,school,51.1703213,6.8372034
200,school,51.1649721,6.790303
201,school,51.2127474,6.7793804
202,school,51.2097296,6.7788073
203,school,51.2129439,6.781655
204,school,51.211869,6.7803313
205,school,51.2118519,6.7796887
206,school,51.1935375,6.7688278
207,school,51.2149797,6.7699684
208,school,51.2101399,6.7690826
209,school,51.2128736,6.7675127
210,school,51.2114009,6.7712934
211,school,51.2144249,6.7731611
212,school,51.2033421,6.791214
213,school,51.2062844,6.7903164
214,school,51.2040064,6.7886099
215,school,51.2080804,6.7651268
216,school,51.2241742,6.9035369
217,school,51.2407892,6.8245344
218,school,51.1787464,6.8615058
219,school,51.1762789,6.8638239
220,school,51.1832874,6.8624835
221,school,51.1917116,6.8599304
222,school,51.1517,6.8696252
223,school,51.154326,6.8828396
224,school,51.2238961,6.7900148
225,school,51.2231068,6.7708013
226,school,51.2343194,6.8139496
227,school,51.2436794,6.8177072
228,school,51.2452403,6.8182836
229,school,51.2430418,6.8123291
230,school,51.2458555,6.8198876
231,school,51.2495413,6.8093353
232,school,51.2519004,6.8086908
233,school,51.1449494,6.8890154
234,school,51.2561405,6.809374
235,school,51.1829345,6.6906036
236,school,51.2968877,6.8451724
237,school,51.2390181,6.7906785
238,school,51.2404047,6.6916752
239,school,51.2922837,6.8197097
240,school,51.166754,6.6928382
241,school,51.2307638,6.7185808
242,school,51.1711513,6.9302751
243,school,51.2218872,6.9150677
244,school,51.2751229,6.7828206
245,school,51.1672933,6.6929545
246,school,51.1669843,6.6924603
247,school,51.2660084,6.7554048
248,school,51.1708581,6.7232846
249,school,51.2263315,6.8005641
250,school,51.3054506,6.8197163
251,school,51.2849722,6.7959804
252,school,51.2413746,6.7759799
253,school,51.2420108,6.7860179
254,school,51.2395601,6.7844495
255,school,51.2679801,6.8256067
256,school,51.2891305,6.8524005
257,school,51.2939333,6.8571788
258,school,51.2314588,6.7996451
259,school,51.3020985,6.8538609
260,school,51.1391244,6.8205838
261,school,51.2980091,6.7413289
262,school,51.1897988,6.6951298
263,school,51.26707,6.8754603
264,school,51.2100652,6.8072991
265,school,51.2466644,6.6995552
266,school,51.3151082,6.7573372
267,school,51.1528842,6.7340284
268,school,51.1525999,6.7331865
269,school,51.1545073,6.700634
270,school,51.1403377,6.7011317
271,school,51.1238677,6.8461702
272,school,51.194237,6.7896881
273,school,51.3310593,6.906858
274,school,51.330985,6.9076022
275,school,51.3311678,6.9064569
276,school,51.3308153,6.9071933
277,school,51.3431834,6.8284185
278,school,51.3431105,6.8271425
279,school,51.3305928,6.8293884
280,school,51.3347653,6.8296445
281,school,51.331085,6.8245081
282,school,51.2058396,6.7415083
283,school,51.3504894,6.7112523
284,school,51.3282367,6.7846319
285,school,51.210973,6.8031888
286,school,51.1999596,6.9238998
287,school,51.1642424,6.9107083
288,school,51.2060038,6.7664591
289,school,51.1612044,6.7361372
290,school,51.1846842,6.9318772
291,school,51.2464037,6.8234991
292,school,51.1672305,6.8635464
293,school,51.275623,6.7375595
294,school,51.1917162,6.8370146
295,school,51.2258431,6.9099388
296,school,51.2270757,6.9097019
297,school,51.182739,6.6942024
298,school,51.1405939,6.752171
299,school,51.1653134,6.691874
300,school,51.1671855,6.6931969
301,school,51.2384069,6.7430733
302,school,51.2533105,6.6919838
303,school,51.2379263,6.7513293
304,school,51.2382422,6.7494282
305,school,51.326859,6.7378424
306,school,51.2300569,6.7729548
307,school,51.1629158,6.9092772
308,school,51.1998182,6.8349196
309,school,51.1793898,6.932054
310,school,51.1783068,6.9338074
311,school,51.2975461,6.8420904
312,school,51.3059099,6.7464322
313,school,51.221081,6.7777094
314,school,51.2219353,6.7759789
315,school,51.2758763,6.7827904
316,school,51.2587013,6.7592232
317,school,51.3021819,6.7382103
318,school,51.2288549,6.8066435
319,school,51.166359,6.6920858
320,school,51.2301098,6.8426032
321,school,51.2173545,6.6933204
322,school,51.2163985,6.9167679
323,school,51.197281,6.8478594
324,school,51.1305085,6.90564
325,school,51.1587379,6.8782368
326,school,51.2912833,6.7365027
327,school,51.307468,6.6844531
328,school,51.1642322,6.6900134
329,school,51.2591999,6.8135626
330,school,51.1699155,6.8067284
331,school,51.2434254,6.8602648
332,school,51.152264,6.722734
333,school,51.2348183,6.7868916
334,school,51.1672744,6.69346
335,school,51.1860591,6.8268083
336,school,51.1497309,6.8866823
