amenity,latitude,longitude
hospital,51.211624,6.7609751
hospital,51.2440742,6.8482066
hospital,51.1941919,6.8111248
hospital,51.3003466,6.7493957
hospital,51.1745154,6.8249818
hospital,51.1524288,6.8709642
hospital,51.2347233,6.8208559
hospital,51.2345078,6.8208326
hospital,51.2439311,6.8442609
hospital,51.2433208,6.8560973
hospital,51.2544319,6.7595047
hospital,51.3002151,6.8521658
hospital,51.2359753,6.7855856
hospital,51.1643533,6.9383058
hospital,51.2424958,6.7913819
hospital,51.3334884,6.8186108
hospital,51.2668595,6.8246961
hospital,51.1914457,6.7019831
hospital,51.3547892,6.9413533
hospital,51.3362354,6.8157406
hospital,51.2131722,6.7730583
hospital,51.3008916,6.7341749
hospital,51.2313187,6.7272689
hospital,51.1959746,6.7894365
hospital,51.3000991,6.859167
